"State","District","Date","Year","Month","Avg_etlvl_at15cm","Agency_name"
"Andhra Pradesh","Krishna","2022-08-29","2022","08","2.7639663582","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-30","2022","08","3.3253411719","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-31","2022","08","2.8083855064","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-01","2022","08","3.966854673","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-02","2022","08","3.8796775522","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-03","2022","08","4.4830763235","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-04","2022","08","3.6930389533","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-05","2022","08","3.1656317259","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-06","2022","08","3.7876423677","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-07","2022","08","3.4462517869","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-08","2022","08","3.5982666565","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-09","2022","08","3.2584499733","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-10","2022","08","3.8574594699","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-11","2022","08","3.936400864","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-12","2022","08","3.6517490745","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-13","2022","08","3.6756887296","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-14","2022","08","2.329872195","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-15","2022","08","3.6504549366","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-16","2022","08","3.8793580123","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-17","2022","08","4.0737694876","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-18","2022","08","3.6715884011","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-19","2022","08","3.3671624151","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-20","2022","08","3.9828651707","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-21","2022","08","3.9426811801","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-22","2022","08","3.7384217967","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-23","2022","08","3.6510518163","NRSC VIC MODEL"
"Andhra Pradesh","Krishna","2022-08-24","2022","08","2.7180184175","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-25","2022","08","2.4423336668","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-26","2022","08","2.3196461102","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-27","2022","08","4.3403356968","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-28","2022","08","3.3296141697","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-29","2022","08","3.2322574088","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-30","2022","08","3.6177675217","NRSC VIC MODEL"
